id,nom,score_global
1,AIN,89
2,AISNE,88
3,ALLIER,98
4,ALPES DE HAUTE PROVENCE,90
5,ALPES MARITIMES,101
6,ARDECHE,95
7,ARDENNES,88
8,ARIEGE,90
9,AUBE,93
10,AUDE,90
11,AVEYRON,93
12,BAS RHIN,91
13,BOUCHES DU RHONE,101
14,CALVADOS,90
15,CANTAL,98
16,CHARENTE,94
17,CHARENTE MARITIME,95
18,CHER,95
19,CORREZE,94
20,CORSE DU SUD,99
21,COTE D OR,87
22,COTES D ARMOR,97
23,CREUSE,97
24,DEUX SEVRES,90
25,DORDOGNE,94
26,DOUBS,88
27,DROME,92
28,ESSONNE,94
29,EURE,86
30,EURE ET LOIR,87
31,FINISTERE,99
32,GARD,95
33,GERS,87
34,GIRONDE,95
35,HAUT RHIN,92
36,HAUTE CORSE,101
37,HAUTE GARONNE,90
38,HAUTE LOIRE,95
39,HAUTE MARNE,90
40,HAUTE SAONE,88
41,HAUTE SAVOIE,93
42,HAUTE VIENNE,100
43,HAUTES ALPES,85
44,HAUTES PYRENEES,86
45,HAUTS DE SEINE,102
46,HERAULT,97
47,ILLE ET VILAINE,95
48,INDRE,97
49,INDRE ET LOIRE,96
50,ISERE,92
51,JURA,86
52,LA REUNION,95
53,LANDES,89
54,LOIR ET CHER,92
55,LOIRE,96
56,LOIRE ATLANTIQUE,99
57,LOIRET,93
58,LOT,91
59,LOT ET GARONNE,95
60,LOZERE,90
61,MAINE ET LOIRE,98
62,MANCHE,91
63,MARNE,89
64,MARTINIQUE,102
65,MAYENNE,93
66,MEURTHE ET MOSELLE,90
67,MEUSE,86
68,MORBIHAN,99
69,MOSELLE,90
70,NIEVRE,98
71,NORD,97
72,OISE,88
73,ORNE,90
74,PARIS,106
75,PAS DE CALAIS,91
76,PUY DE DOME,96
77,PYRENEES ATLANTIQUES,90
78,PYRENEES ORIENTALES,98
79,RHONE,101
80,SAONE ET LOIRE,91
81,SARTHE,96
82,SAVOIE,92
83,SEINE ET MARNE,90
84,SEINE MARITIME,91
85,SEINE SAINT DENIS,104
86,SOMME,90
87,TARN,90
88,TARN ET GARONNE,92
89,TERRITOIRE DE BELFORT,87
90,VAL D OISE,94
91,VAL DE MARNE,102
92,VAR,98
93,VAUCLUSE,95
94,VENDEE,95
95,VIENNE,96
96,VOSGES,91
97,YONNE,94
98,YVELINES,93
